"Timestamp","Qual é o seu curso?","Em qual período do curso você se encontra?","Como você tem se sentido ultimamente na CESAR School?","Poderia elaborar por que você se sente desse jeito?"
"2019/05/02 2:18:01 PM GMT-3","Design","1º","Feliz","Gosto bastante do ambiente e das pessoas"
"2019/05/02 2:36:24 PM GMT-3","Ciências da Computação","3º","Ansioso","Muitas provas e entregas diárias para fazer"
"2019/05/02 2:40:02 PM GMT-3","Design","3º","Ansioso","Falta de organização e de prazo para ser dito oq deve ser entregue e como deve ser. Portal não diz notas ou faltas, atas aparecendo dia sim e dia não.. etc"
"2019/05/02 2:41:24 PM GMT-3","Ciências da Computação","1º","Ansioso","Devido ao fato de não conseguir acompanhar a velocidade dos professores, durante a aula, especialmente matemática, pois a sala não é focada na aula além de problemas pessoais que afetam meu aprendizado."
"2019/05/02 2:42:05 PM GMT-3","Ciências da Computação","3º","Ansioso","As vezes acho o período do projeto meio tenso, e também por muitas vezes ter que ficar muito tempo na faculdade fico ansioso pra voltar pra casa"
"2019/05/02 2:52:35 PM GMT-3","Ciências da Computação","1º","Ansioso","Pela quantidade de provas e pelo projeto e prazos estou ansiosa para resolver logo tudo"
"2019/05/02 3:02:25 PM GMT-3","Ciências da Computação","1º","Feliz","Nhe"
"2019/05/02 3:06:00 PM GMT-3","Design","2º","Ansioso","Projeto diminuindo minhas notas, prazos apertados para a complexidade do projeto, grupo disperso, etc."
"2019/05/02 3:19:31 PM GMT-3","Ciências da Computação","1º","Feliz","Eu gosto daqui "
"2019/05/02 4:54:12 PM GMT-3","Ciências da Computação","1º","Neutro","Muita coisa pra fazer,  mas estou seguindo"
"2019/05/02 6:40:40 PM GMT-3","Ciências da Computação","1º","Ansioso","Provas/Curso"
"2019/05/02 6:41:01 PM GMT-3","Design","1º","Feliz","Vim de um curso desestimulante e estou me identifcando bastante até agora com essa nova etapa"
"2019/05/02 6:41:18 PM GMT-3","Design","1º","Feliz","Ambiente incrível de aprendizagem mas gera um pouco de estresse as vezes pela quantidade de tarefas que é preciso exercer sem um conhecimento prévio porem acredito que isso faça parte do método de ensino escolhido pela faculdade."
"2019/05/02 6:45:56 PM GMT-3","Design","2º","Estressado","O nosso cliente é um órgão público, ou seja, é meio bastante complicado de entrar em contato e eles parecem que também não se esforçam, o que acaba atrapalhando e atrasando muito eu e meu grupo com todas as tarefas, isso é de um estresse absurdo, principalmente quando a gente depende bastante do cliente, que é o nosso caso"
"2019/05/02 6:47:29 PM GMT-3","Ciências da Computação","1º","Feliz","Estou absorvendo tudo com relativa facilidade e me sinto produtivo na maioria das cadeiras. Pelo jeito achei algum lugar em q pertenço."
"2019/05/02 6:48:23 PM GMT-3","Design","1º","Feliz","Fico muito feliz por poder trabalhar no que eu gosto, me sentir produtivo e sentir que estou acumulando práticas e aprendizados que levarei pro resto da vida."
"2019/05/02 6:50:52 PM GMT-3","Design","1º","Feliz","O cesinha é um lugar maravilhoso, com pessoas maravilhosas e que me faz se sentir bem 💖 me sinto em casa"
"2019/05/02 7:12:57 PM GMT-3","Ciências da Computação","1º","Triste","Muita coisa pra resolver em pouco tempo, resumindo tô fudido. Se eu não reprovar, venho de Ricardo Milos no segundo semestre."
"2019/05/02 8:03:02 PM GMT-3","Design","1º","Estressado","Sempre tenho muita atividade para fazer"
"2019/05/02 8:11:58 PM GMT-3","Design","1º","Feliz","Porque sempre tem algo interessante para fazer e sempre que preciso de ajuda tem alguém disposto "
"2019/05/02 8:37:58 PM GMT-3","Ciências da Computação","1º","Feliz","Estou numa faculdade mt boa, que fornece tudo que eu preciso pra ser um bom profissional"
"2019/05/02 8:51:17 PM GMT-3","Ciências da Computação","2º","Feliz","Me divirto com as pessoas e sinto minha evolução."
"2019/05/02 9:13:43 PM GMT-3","Ciências da Computação","2º","Estressado","MUITA coisa ao msm tempo... Status, Prova, Trabalhos..."
"2019/05/02 10:50:50 PM GMT-3","Design","1º","Estressado","Chegada de status Report, fico ansiosa e espero um bom desempenho da minha equipe. Por vezes, tenho que chamar a atenção e ser chata, isso me deixa bastante estressada."
"2019/05/02 11:48:09 PM GMT-3","Design","1º","Feliz","O school oferece um apoio muito competente com relação a varios aspectos, mas principalmente em apoio psicológico e apoio pedagógico "
"2019/05/03 7:59:21 AM GMT-3","Design","1º","Estressado","Por conta do status 2, não sei se vou conseguir entregar o que foi prometido."
